lat,long,time,date,area(place),roadtype,temperature,weather,vehicletype,rain,humidity,accidents,traffic
17.731089,83.248409,08:57,2022-04-21,Gajuwaka,Minor Arterial,28.0,Clear,Two-wheeler,0.291,82.5,1,56.4
17.93275,83.268359,07:51,2021-05-13,Dwaraka Nagar,State Highway,32.4,Clear,Auto-rickshaw,0.326,69.5,1,40.5
17.856198,83.363637,11:57,2020-07-01,Dwaraka Nagar,Minor Arterial,32.5,Clear,Car,2.996,60.9,1,31.7
17.80953,83.235001,10:44,2021-11-26,Vizag Port,Local Road,27.1,Clear,Two-wheeler,0.202,87.0,1,47.0
17.654607,83.367412,05:44,2021-10-04,Kailasagiri,State Highway,22.7,Clear,Two-wheeler,0.472,71.5,1,16.6
17.654598,83.172034,12:43,2021-11-03,Scindia,Major Arterial,25.9,Clear,Truck,0.235,73.7,2,38.4
17.620329,83.3442,15:27,2020-09-26,Seethammadhara,Major Arterial,27.0,Clear,Auto-rickshaw,2.298,66.5,1,64.8
17.903162,83.361887,20:17,2020-08-17,Seethammadhara,Minor Arterial,23.4,Light Rain,Cycle,1.735,75.9,1,48.0
17.81039,83.195454,21:59,2022-03-28,Dwaraka Nagar,Major Arterial,29.6,Clear,Two-wheeler,0.411,74.4,1,25.3
17.847825,83.257587,14:48,2023-02-26,Vizag Port,Major Arterial,30.2,Clear,Two-wheeler,0.05,76.9,1,27.8
17.607205,83.191375,15:08,2022-09-14,Vizag Port,National Highway,25.9,Light Rain,Two-wheeler,2.14,57.9,1,47.6
17.939468,83.326651,22:50,2020-09-05,MVP Colony,State Highway,30.5,Light Rain,Two-wheeler,0.187,75.9,1,35.8
17.891355,83.283837,13:48,2022-01-11,Bheemunipatnam,Minor Arterial,25.3,Overcast,Two-wheeler,0.019,57.9,4,49.0
17.674319,83.308831,21:06,2023-04-29,Pendurthi,State Highway,27.0,Drizzle,Car,0.135,88.7,1,45.6
17.663639,83.199122,19:17,2023-05-23,Kailasagiri,State Highway,27.8,Drizzle,Car,0.071,95.4,1,82.0
17.664192,83.202936,15:29,2023-05-03,Bheemunipatnam,Major Arterial,28.5,Clear,Car,0.166,71.7,1,77.4
17.706485,83.160374,08:46,2023-05-12,Kurmannapalem,State Highway,33.4,Clear,Two-wheeler,0.226,85.1,1,65.1
17.783665,83.230517,17:48,2023-05-30,Dwaraka Nagar,National Highway,32.7,Clear,Two-wheeler,0.051,72.3,1,70.6
17.751181,83.289936,14:05,2021-11-11,Dwaraka Nagar,Major Arterial,25.3,Drizzle,Two-wheeler,0.241,68.9,1,39.5
17.70193,83.364484,08:14,2022-03-01,Kurmannapalem,State Highway,26.0,Overcast,Auto-rickshaw,1.079,73.1,2,48.5
17.814149,83.316732,09:29,2020-04-09,Dwaraka Nagar,Local Road,36.3,Overcast,Auto-rickshaw,0.285,73.2,1,43.0
17.648823,83.258849,13:54,2023-01-19,Malkapuram,National Highway,30.5,Clear,Two-wheeler,0.038,76.8,1,47.5
17.702251,83.38828,19:55,2022-08-18,NAD Junction,Local Road,23.8,Light Rain,Car,1.506,53.5,1,55.3
17.728227,83.329811,22:25,2021-08-12,Kailasagiri,Major Arterial,32.0,Clear,Two-wheeler,0.014,75.9,1,24.5
17.759624,83.382541,12:39,2021-07-18,Gajuwaka,Minor Arterial,34.8,Drizzle,Car,0.952,55.0,5,53.3
17.874812,83.281897,19:07,2022-07-14,Dwaraka Nagar,National Highway,27.9,Light Rain,Two-wheeler,1.143,69.8,1,72.3
